,,,,,
,MATERIAL_DESC,STORAGE_LOCATION,SUBSTORE_STOCK,DATASHEET LINK,
,1500?F/16V ,BOX 7,50,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1015.pdf,
,S20K440,BOX 7,25,https://www.alldatasheet.com/datasheet-pdf/pdf/183064/EPCOS/S20K440.html,
,S20K680,BOX 7,20,https://www.alldatasheet.com/datasheet-pdf/pdf/183114/EPCOS/S20K680.html,
,10K/3KW POTENTIOMETER,BOX 7,5,https://components101.com/resistors/potentiometer,
,zener diode box,BOX 7,5,.,
,Res.10K/3W ,BOX 7,50,https://www.vishay.com/docs/30204/rsns.pdf,
,Res.10K/5W ,BOX 7,50,https://www.vishay.com/docs/30204/rsns.pdf,
,screwdriver set,BOX 7,1,.,
,fuse 11A,BOX 7,5,https://www.alldatasheet.com/datasheet-pdf/pdf/605399/COOPER/DMM-B-11A.html,
,TOL lab components,BOX 7,1 set,.,
,7812,CUP BOARD 3,50,https://www.ti.com/lit/ds/symlink/lm7800.pdf?ts=1751230607046&ref_url=https%253A%252F%252Fpt.mouser.com%252F,
,7824,CUP BOARD 3,50,https://www.alldatasheet.com/datasheet-pdf/pdf/91537/ETC/7924.html,
,7912,CUP BOARD 3,50,https://www.ti.com/lit/ds/symlink/lm7800.pdf?ts=1751230607046&ref_url=https%253A%252F%252Fpt.mouser.com%252F,
,7924,CUP BOARD 3,50,https://www.alldatasheet.com/datasheet-pdf/pdf/91537/ETC/7924.html,
,QM50DY-H,CUP BOARD 3,2,https://www.alldatasheet.com/datasheet-pdf/pdf/2136/MITSUBISHI/QM50DY-2H.html,
,IGBT BSM15GD120DN2E3224,CUP BOARD 2,5 NOS.,POSIDYNE & SIEMENS DRIVE,
